doc,rank,term,count
physics_chapters/chapter_19.md,17,b,55
physics_chapters/chapter_19.md,18,given,51
physics_chapters/chapter_19.md,19,charges,50
physics_chapters/chapter_19.md,20,dielectric,49
physics_chapters/chapter_20.md,1,current,267
physics_chapters/chapter_20.md,2,resistance,209
physics_chapters/chapter_20.md,3,power,177
physics_chapters/chapter_20.md,4,voltage,148
physics_chapters/chapter_20.md,5,electric,106
physics_chapters/chapter_20.md,6,figure,93
physics_chapters/chapter_20.md,7,energy,78
physics_chapters/chapter_20.md,8,ac,77
physics_chapters/chapter_20.md,9,temperature,76
physics_chapters/chapter_20.md,10,charge,71
physics_chapters/chapter_20.md,11,circuit,63
physics_chapters/chapter_20.md,12,b,58
physics_chapters/chapter_20.md,13,wire,54
physics_chapters/chapter_20.md,14,time,54
physics_chapters/chapter_20.md,15,example,53
physics_chapters/chapter_20.md,16,electrons,48
physics_chapters/chapter_20.md,17,electrical,48
physics_chapters/chapter_20.md,18,resistivity,43
physics_chapters/chapter_20.md,19,charges,42
physics_chapters/chapter_20.md,20,heart,41
physics_chapters/chapter_21.md,1,resistance,322
physics_chapters/chapter_21.md,2,voltage,278
physics_chapters/chapter_21.md,3,current,240
physics_chapters/chapter_21.md,4,figure,167
physics_chapters/chapter_21.md,5,circuit,150
physics_chapters/chapter_21.md,6,series,145
physics_chapters/chapter_21.md,7,parallel,135
physics_chapters/chapter_21.md,8,emf,106
physics_chapters/chapter_21.md,9,battery,92
physics_chapters/chapter_21.md,10,resistors,91
physics_chapters/chapter_21.md,11,power,88
physics_chapters/chapter_21.md,12,time,87
physics_chapters/chapter_21.md,13,resistor,82
physics_chapters/chapter_21.md,14,b,80
physics_chapters/chapter_21.md,15,capacitor,78
physics_chapters/chapter_21.md,16,internal,78
physics_chapters/chapter_21.md,17,source,77
physics_chapters/chapter_21.md,18,potential,68
physics_chapters/chapter_21.md,19,total,67
physics_chapters/chapter_21.md,20,galvanometer,63
physics_chapters/chapter_22.md,1,magnetic,484
physics_chapters/chapter_22.md,2,field,441
physics_chapters/chapter_22.md,3,force,202
physics_chapters/chapter_22.md,4,current,188
physics_chapters/chapter_22.md,5,figure,134
physics_chapters/chapter_22.md,6,direction,121
physics_chapters/chapter_22.md,7,wire,105
physics_chapters/chapter_22.md,8,loop,101
physics_chapters/chapter_22.md,9,fields,84
physics_chapters/chapter_22.md,10,charge,76
physics_chapters/chapter_22.md,11,strength,72
physics_chapters/chapter_22.md,12,earth,68
physics_chapters/chapter_22.md,13,moving,66
physics_chapters/chapter_22.md,14,carrying,65
physics_chapters/chapter_22.md,15,lines,64
physics_chapters/chapter_22.md,16,hall,64
physics_chapters/chapter_22.md,17,perpendicular,63
physics_chapters/chapter_22.md,18,torque,63
physics_chapters/chapter_22.md,19,b,58
physics_chapters/chapter_22.md,20,magnet,56
physics_chapters/chapter_23.md,1,current,351
physics_chapters/chapter_23.md,2,emf,238
physics_chapters/chapter_23.md,3,magnetic,201
physics_chapters/chapter_23.md,4,voltage,190
physics_chapters/chapter_23.md,5,field,165
physics_chapters/chapter_23.md,6,figure,161
physics_chapters/chapter_23.md,7,coil,141
physics_chapters/chapter_23.md,8,circuit,140
physics_chapters/chapter_23.md,9,induced,107
physics_chapters/chapter_23.md,10,frequency,102
physics_chapters/chapter_23.md,11,inductor,99
physics_chapters/chapter_23.md,12,b,90
physics_chapters/chapter_23.md,13,change,83
physics_chapters/chapter_23.md,14,inductance,81
physics_chapters/chapter_23.md,15,law,81
physics_chapters/chapter_23.md,16,power,79
physics_chapters/chapter_23.md,17,time,76
physics_chapters/chapter_23.md,18,ac,76
physics_chapters/chapter_23.md,19,capacitor,75
physics_chapters/chapter_23.md,20,induction,71
physics_chapters/chapter_24.md,1,electromagnetic,208
physics_chapters/chapter_24.md,2,waves,171
physics_chapters/chapter_24.md,3,wave,122
physics_chapters/chapter_24.md,4,frequency,110
physics_chapters/chapter_24.md,5,field,105
physics_chapters/chapter_24.md,6,radio,88
physics_chapters/chapter_24.md,7,radiation,87
physics_chapters/chapter_24.md,8,magnetic,84
physics_chapters/chapter_24.md,9,light,84
physics_chapters/chapter_24.md,10,electric,76
physics_chapters/chapter_24.md,11,figure,64
physics_chapters/chapter_24.md,12,strength,60
physics_chapters/chapter_24.md,13,frequencies,57
physics_chapters/chapter_24.md,14,wavelength,55
physics_chapters/chapter_24.md,15,x,55
physics_chapters/chapter_24.md,16,b,52
physics_chapters/chapter_24.md,17,energy,52
physics_chapters/chapter_24.md,18,antenna,47
physics_chapters/chapter_24.md,19,visible,46
physics_chapters/chapter_24.md,20,range,41
physics_chapters/chapter_25.md,1,light,328
physics_chapters/chapter_25.md,2,image,255
physics_chapters/chapter_25.md,3,lens,228
physics_chapters/chapter_25.md,4,mirror,181
physics_chapters/chapter_25.md,5,ray,169
physics_chapters/chapter_25.md,6,figure,166
physics_chapters/chapter_25.md,7,focal,146
physics_chapters/chapter_25.md,8,refraction,128
physics_chapters/chapter_25.md,9,rays,125
physics_chapters/chapter_25.md,10,angle,122
physics_chapters/chapter_25.md,11,point,107
physics_chapters/chapter_25.md,12,object,102
physics_chapters/chapter_25.md,13,length,95
physics_chapters/chapter_25.md,14,reflection,74
physics_chapters/chapter_25.md,15,distance,71
physics_chapters/chapter_25.md,16,index,63
physics_chapters/chapter_25.md,17,speed,62
physics_chapters/chapter_25.md,18,mirrors,61
physics_chapters/chapter_25.md,19,parallel,57
physics_chapters/chapter_25.md,20,reflected,56
physics_chapters/chapter_26.md,1,lens,172
physics_chapters/chapter_26.md,2,image,157
physics_chapters/chapter_26.md,3,eye,144
physics_chapters/chapter_26.md,4,vision,115
physics_chapters/chapter_26.md,5,light,103
physics_chapters/chapter_26.md,6,object,83
physics_chapters/chapter_26.md,7,figure,79
physics_chapters/chapter_26.md,8,color,73
physics_chapters/chapter_26.md,9,objective,73
physics_chapters/chapter_26.md,10,power,61
physics_chapters/chapter_26.md,11,eyepiece,58
physics_chapters/chapter_26.md,12,magnification,56
physics_chapters/chapter_26.md,13,lenses,56
physics_chapters/chapter_26.md,14,retina,51
physics_chapters/chapter_26.md,15,microscope,49
physics_chapters/chapter_26.md,16,distance,46
physics_chapters/chapter_26.md,17,focal,44
physics_chapters/chapter_26.md,18,rays,43
physics_chapters/chapter_26.md,19,objects,43
physics_chapters/chapter_26.md,20,point,39
physics_chapters/chapter_27.md,1,light,447
physics_chapters/chapter_27.md,2,figure,154
physics_chapters/chapter_27.md,3,interference,153
physics_chapters/chapter_27.md,4,wavelength,151
physics_chapters/chapter_27.md,5,diffraction,147
physics_chapters/chapter_27.md,6,angle,141
physics_chapters/chapter_27.md,7,slit,131
physics_chapters/chapter_27.md,8,wave,122
physics_chapters/chapter_27.md,9,distance,80
physics_chapters/chapter_27.md,10,waves,75
physics_chapters/chapter_27.md,11,slits,71
physics_chapters/chapter_27.md,12,maximum,68
physics_chapters/chapter_27.md,13,direction,68
physics_chapters/chapter_27.md,14,polarization,65
physics_chapters/chapter_27.md,15,grating,63
physics_chapters/chapter_27.md,16,b,62
physics_chapters/chapter_27.md,17,reflected,62
physics_chapters/chapter_27.md,18,double,61
physics_chapters/chapter_27.md,19,order,61
physics_chapters/chapter_27.md,20,pattern,60
physics_chapters/chapter_28.md,1,energy,217
physics_chapters/chapter_28.md,2,relativistic,152
physics_chapters/chapter_28.md,3,velocity,148
physics_chapters/chapter_28.md,4,relative,147
physics_chapters/chapter_28.md,5,mass,142
physics_chapters/chapter_28.md,6,earth,141
physics_chapters/chapter_28.md,7,observer,137
physics_chapters/chapter_28.md,8,light,124
physics_chapters/chapter_28.md,9,speed,123
physics_chapters/chapter_28.md,10,time,117
physics_chapters/chapter_28.md,11,momentum,84
physics_chapters/chapter_28.md,12,rest,81
physics_chapters/chapter_28.md,13,moving,78
physics_chapters/chapter_28.md,14,relativity,72
physics_chapters/chapter_28.md,15,b,67
physics_chapters/chapter_28.md,16,measured,58
physics_chapters/chapter_28.md,17,classical,56
physics_chapters/chapter_28.md,18,velocities,55
physics_chapters/chapter_28.md,19,equation,54
physics_chapters/chapter_28.md,20,kinetic,53
physics_chapters/chapter_29.md,1,energy,334
physics_chapters/chapter_29.md,2,photon,182
physics_chapters/chapter_29.md,3,momentum,144
physics_chapters/chapter_29.md,4,photons,132
physics_chapters/chapter_29.md,5,electron,132
physics_chapters/chapter_29.md,6,electrons,123
physics_chapters/chapter_29.md,7,wavelength,117
physics_chapters/chapter_29.md,8,radiation,104
physics_chapters/chapter_29.md,9,wave,90
physics_chapters/chapter_29.md,10,light,87
physics_chapters/chapter_29.md,11,em,86
physics_chapters/chapter_29.md,12,uncertainty,82
physics_chapters/chapter_29.md,13,particle,65
physics_chapters/chapter_29.md,14,b,59
physics_chapters/chapter_29.md,15,particles,59
physics_chapters/chapter_29.md,16,ev,57
physics_chapters/chapter_29.md,17,figure,57
physics_chapters/chapter_29.md,18,example,55
physics_chapters/chapter_29.md,19,atoms,55
physics_chapters/chapter_29.md,20,given,48
physics_chapters/chapter_30.md,1,energy,193
physics_chapters/chapter_30.md,2,electron,186
physics_chapters/chapter_30.md,3,electrons,183
physics_chapters/chapter_30.md,4,atom,163
physics_chapters/chapter_30.md,5,figure,137
physics_chapters/chapter_30.md,6,atoms,132
physics_chapters/chapter_30.md,7,x,121
physics_chapters/chapter_30.md,8,hydrogen,107
physics_chapters/chapter_30.md,9,state,98
physics_chapters/chapter_30.md,10,number,96
physics_chapters/chapter_30.md,11,momentum,87
physics_chapters/chapter_30.md,12,quantum,86
physics_chapters/chapter_30.md,13,angular,85
physics_chapters/chapter_30.md,14,rays,81
physics_chapters/chapter_30.md,15,shell,69
physics_chapters/chapter_30.md,16,atomic,68
physics_chapters/chapter_30.md,17,ray,68
physics_chapters/chapter_30.md,18,light,67
physics_chapters/chapter_30.md,19,orbits,60
physics_chapters/chapter_30.md,20,laser,60
physics_chapters/chapter_31.md,1,decay,297
physics_chapters/chapter_31.md,2,energy,218
physics_chapters/chapter_31.md,3,nucleus,160
physics_chapters/chapter_31.md,4,nuclear,154
physics_chapters/chapter_31.md,5,radiation,144
physics_chapters/chapter_31.md,6,mass,138
physics_chapters/chapter_31.md,7,number,99
physics_chapters/chapter_31.md,8,nuclei,95
physics_chapters/chapter_31.md,9,electron,94
physics_chapters/chapter_31.md,10,half,86
physics_chapters/chapter_31.md,11,radioactive,74
physics_chapters/chapter_31.md,12,figure,68
physics_chapters/chapter_31.md,13,activity,65
physics_chapters/chapter_31.md,14,particle,64
physics_chapters/chapter_31.md,15,life,64
physics_chapters/chapter_31.md,16,equation,64
physics_chapters/chapter_31.md,17,protons,62
physics_chapters/chapter_31.md,18,neutrons,54
physics_chapters/chapter_31.md,19,find,52
physics_chapters/chapter_31.md,20,b,51
physics_chapters/chapter_32.md,1,energy,210
physics_chapters/chapter_32.md,2,radiation,161
physics_chapters/chapter_32.md,3,fission,123
physics_chapters/chapter_32.md,4,nuclear,102
physics_chapters/chapter_32.md,5,fusion,89
physics_chapters/chapter_32.md,6,dose,89
physics_chapters/chapter_32.md,7,mass,77
physics_chapters/chapter_32.md,8,reaction,66
physics_chapters/chapter_32.md,9,figure,64
